key,ja,en,es,zh_CN
Content purported to be compressed with %s but failed to decompress.,"",Content purported to be compressed with %s but failed to decompress.,"",""
Unsupported value for qop: %s.,"",Unsupported value for qop: %s.,"",""
Unsupported value for algorithm: %s.,"",Unsupported value for algorithm: %s.,"",""
"The challenge doesn't contain a server nonce, or this one is empty.","","The challenge doesn't contain a server nonce, or this one is empty.","",""
Unsupported value for pw-algorithm: %s.,"",Unsupported value for pw-algorithm: %s.,"",""
Redirected but the response is missing a Location: header.,"",Redirected but the response is missing a Location: header.,"",""
Redirected more times than rediection_limit allows.,"",Redirected more times than rediection_limit allows.,"",""
Sorry.,ごめんね,Sorry.,Lo siento.,哎呀，真是抱歉。
Something is wrong with me.,たまには僕も調子が悪くなるんです…,Something is wrong with me.,A veces tambien me pongo mal.,我偶尔也会出现一些这样那样的问题...
Terms,利用規約,Terms&Conditions,Condiciones de uso,利用规范
The following accounts are registered.,以下のアカウントが登録されています。,The following accounts are registered.,Estan registradas las siguientes cuentas.,以下帐号已被使用。
Add Another Account,別のアカウントを追加,Add Another Account,Añadir Otra Cuenta,追加另外一个帐号
Delete,削除,Delete,Eliminar,删除
There is no account of Chatter.,まだChatterのアカウントがありません。,There is no account of Chatter.,"No hay ninguna cuenta de \""Chatter\"".",尚未登录Chatter的帐号。
Add Account,アカウントを追加,Add Account,Añadir Cuenta,添加帐号
Please select an account.,アカウントを選択してください。,Please select an account.,Elige Una Cuenta Por Favor,请选择帐号。
Please select the type of timeline.,メッセージのタイプを選択してください。,Please select the type of timeline.,Elige El Tipo de Mensage,请选择消息类型。
There is no account of Cybozu Live.,まだサイボウズLiveのアカウントがありません。,There is no account of Cybozu Live.,"No hay ninguna cuenta de \""Cybozu Live\"".",尚未登录Cybozu的帐号。
All Updates,すべての新着情報,All Updates,Todas Las Actualizaciones,所有更新消息
My Schedule,マイスケジュール,My Schedule,Mi Calendario,我的日程
Group Events,グループイベント,Group Events,Eventos de Grupo,组的活动
Messages,メッセージ,Messages,Mensages,消息
ToDo List,ToDoリスト,ToDo List,Lista ToDo,TODO一览
Forum Cybozu,掲示板,Forum,Foros,电子公告板
Share Folder,共有フォルダ,Shared Folder,Carpeta Compartida,共有文件夹
Join/Leave Group,グループへの入退会,Join/Leave Group,Unirte/Salir del Grupo,加入/离开组
There is no account of Facebook.,まだFacebookのアカウントがありません。,There is no Facebook account.,"No hay ninguna cuenta de \""Facebook\"".",尚未登录Facebook帐号。
Feed,フィード,Feed,"",源
Groups,グループ,Groups,"",""
Your pages,あなたの管理しているFacebookページ,Your managed pages,"",""
Your favorite pages,あなたがいいね！と言っているFacebookページ,"","",""
Search,検索,Search,"",检索
Friend list,友達リスト,"","",""
Your applications,あなたのFacebookアプリ,"","",""
Select a friend list.,友達リストを選択してください。,Select a friend list.,"",""
Select a group.,グループを選択してください。,"","",""
Enter a search term.,検索キーワードを入力してください。,Enter a search term.,"",请输入检索关键字。
Select a page.,Facebookページを選択してください。,"","",""
Select an app.,Facebookアプリを選択してください。,"","",""
Load More,ギャップを取得,Load More,Leer Mas,载入跳空的时间流
Loading More...,ギャップを取得中,Loading...,Cargando,正载入跳空的时间流...
You must re-authenticate to get these information. Please click here.,この情報を取得するには再認可が必要です。こちらをクリックしてください。,You must re-authenticate to get these information. Please click here.,Para contiuar necesitas reautorizar. Click aqui.,必须再次许可之后才可获取这类信息。请点击这里。
Failed to load timeline. Click to reload.,読み込みに失敗しました。クリックで再読み込みします。,Failed to load timeline. Click to reload.,Error de coneccion. Click para reintentar.,未能成功载入。请点击之后重载。
More,もっと読む,More,Mas,更多
Loading,読み込み中,Loading,Cargando,载入中
You cannot use desktop notifications. This feature is available in Google Chrome only.,デスクトップ通知はこのブラウザでは使用できません。現在はGoogle Chromeのみでご利用いただけます。,You cannot use desktop notifications. This feature is only available in Google Chrome.,Crowy no puede activar la alerta al escritorio.Esta option solo es valida para Google Chrome.,您所使用的浏览器并不支持桌面通知功能。现在只有Google Chrome才可以使用桌面通知。
Crowy don't notify you as the overall settings for the notification feature is off. Would you like to enable the settings?,全体のデスクトップ通知設定がOFFのため、通知は行われません。全体の設定もONにしますか？,Crowy don't notify you as the overall settings for the notification feature is off. Would you like to enable the settings?,Todas las alertas de escritorio estan desactivadas.Deseas que Crowy haga aparecer alertas?,因为全局的桌面通知设置当前为OFF的状态，所以您将不会得到任何通知。是否将全局的桌面通知设置为ON吗？
"Desktop notifications of \""$(name)\"" successfully changed.",「$(name)」のデスクトップ通知を切り替えました。,"Desktop notifications of \""$(name)\"" has been successfully changed.","Los cambios de alerta de \""$(name)\"" han sido guardados.","已成功切换\""$(name)\""的桌面通知。"
"Failed to change desktop notifications of \""$(name)\"".",「$(name)」のデスクトップ通知の切り替えに失敗しました。,"Failed to change desktop notifications of \""$(name)\"".","Crowy fallo al guardar los cambios de alerta de \""$(name)\"" ","未能成功切换\""$(name)\""的桌面通知功能。"
"Are you sure you want to delete this column \""$(name)\""?",本当にカラム「$(name)」を削除していいですか？,"Are you sure you want to delete the column \""$(name)\""?","Estas seguro de eliminar la columna \""$(name)\""?","确定删除\""$(name)\""栏目吗？"
Desktop notifications($(status)),デスクトップ通知(現在$(status)),Desktop notifications($(status)),Alertas al escritorio ($(status)),桌面通知(现在$(status))
Message posted.,投稿しました。,Message posted.,Mensage depositado.,已成功投稿。
Failed to post message.,投稿に失敗しました。,Failed to post message.,Fallo al depositar mensage,未能成功投稿。
Press Shift+Enter to post.,Shift+Enterで投稿,Press Shift+Enter to post.,"\""Shift+Enter\"" para depositar.",按Shift+Enter键推送消息。
Close,閉じる,Close,Cerrar,关闭
Send,投稿,Send,Enviar,发送
Clear,クリア,Clear,Clear,清除
Advanced,詳細編集,Advanced,Cambios avanzados,详细编辑
Are you sure you'd like to add automatically major timelines of this service?,このサービスの主なタイムラインを自動で追加します。よろしいですか？,Are you sure you want to automatically add major timelines of this service?,Deseas que agrege las principales TimeLines?,是否自动追加该服务的时间流？
Delete Tab,タブの削除,Delete Tab,Eliminar pestaña,删除标签
You cannot delete the last tab.,タブを一つくらいは残してください。,You should have more than one tab.,Tienes que conservar por lomenos una pestaña,最后一个标签不能被删除。
Are you sure you want to delete this tab?,本当にこのタブを削除していいですか？,Are you sure you want to delete this tab?,Es tas sequro de eliminar esta ?,你确定要删除这个标签吗？
Cancel,キャンセル,Cancel,Cancelar,取消
Add Column,カラム追加,Add New Column,Agregar nueva columna,添加新栏目
"Message posted to \""$(name)\"".",$(name)へ投稿しました。,"Message posted to \""$(name)\"".","Mensage depositado a \""$(name)\""","已成功向\""$(name)\""投稿。"
